Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,Protein_to_Carbs_ratio,Carbs_to_Fat_ratio
paleo,Bone Broth From 'Nom Nom Paleo',american,5.22,1.29,3.2,10/16/2022,17:20:09,4.047,0.403
paleo,"Paleo Effect Asian-Glazed Pork Sides, A Sweet & Crispy Appetizer",south east asian,181.55,28.62,146.14,10/16/2022,17:20:09,6.343,0.196
paleo,Paleo Pumpkin Pie,american,30.91,302.59,96.76,10/16/2022,17:20:09,0.102,3.127
paleo,Strawberry Guacamole recipes,mexican,9.62,75.78,59.89,10/16/2022,17:20:09,0.127,1.265
paleo,"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'",chinese,39.84,54.08,71.55,10/16/2022,17:20:09,0.737,0.756
paleo,Paleo Shrimp-Stuffed Mushrooms recipes,mediterranean,68.62,34.15,42.44,10/16/2022,17:20:09,2.009,0.805
paleo,Paleo Pumpkin Pie recipes,american,30.03,275.88,97.68,10/16/2022,17:20:09,0.109,2.824
paleo,Autoimmune Paleo Pesto,italian,4.25,14.15,72.9,10/16/2022,17:20:09,0.3,0.194
paleo,Baked Banana Chip Encrusted French Toast,french,152.88,1874.52,385.8,10/16/2022,17:20:09,0.082,4.859
paleo,Vietnamese Pho Pressure Cooker (Noodle Soup),south east asian,602.91,274.87,400.01,10/16/2022,17:20:09,2.193,0.687
paleo,Paleo Collard Burrito,mexican,44.62,28.66,78.46,10/16/2022,17:20:09,1.557,0.365
paleo,Paleo Chawanmushi (Savory Egg Custard) recipes,american,61.43,13.29,24.6,10/16/2022,17:20:09,4.622,0.54
paleo,‘paleo' banana bread,american,46.69,192.54,156.48,10/16/2022,17:20:09,0.242,1.23
paleo,Leftover Turkey Sandwich recipes,american,54.09,34.97,14.1,10/16/2022,17:20:16,1.547,2.48
paleo,Paleo Pumpkin Waffles,american,51.24,89.63,78.38,10/16/2022,17:20:16,0.572,1.144
paleo,Fudgy Paleo Brownies,french,64.29,263.65,176.36,10/16/2022,17:20:16,0.244,1.495
paleo,Magic Wings recipes,american,320.76,28.36,252.82,10/16/2022,17:20:16,11.31,0.112
paleo,Turkey Club Sandwich,american,46.92,39.94,19.6,10/16/2022,17:20:16,1.175,2.038
paleo,Easy Paleo Meatloaf,american,185.99,47.82,260.64,10/16/2022,17:20:16,3.889,0.183
paleo,Paleo Crepes,french,15.73,15.91,49.16,10/16/2022,17:20:16,0.989,0.324
paleo,Chocolate Pecan Pie recipes,american,59.86,567.39,320.76,10/16/2022,17:20:16,0.106,1.769
paleo,Simple Crab Salad recipes,american,82.1,4.75,20.24,10/16/2022,17:20:16,17.284,0.235
paleo,Chocolate Pecan Pie,american,54.7,503.39,320.12,10/16/2022,17:20:16,0.109,1.573
paleo,Asian Meatballs recipes,indian,167.07,55.11,210.14,10/16/2022,17:20:16,3.032,0.262
paleo,Blueberry French Toast Casserole,french,78.59,290.1,84.95,10/16/2022,17:20:16,0.271,3.415
paleo,Paleo Spanish Rice,mediterranean,28.67,64.13,37.71,10/16/2022,17:20:23,0.447,1.701
paleo,Whole30® Sriracha,south east asian,12.16,85.78,2.91,10/16/2022,17:20:23,0.142,29.478
paleo,Banana Cream Pie,american,17.85,215.69,304.25,10/16/2022,17:20:23,0.083,0.709
paleo,Spicy Salmon Cucumber Bites recipes,nordic,49.84,17.2,75.62,10/16/2022,17:20:23,2.898,0.227
paleo,Blueberry French Toast Casserole recipes,french,78.59,290.1,84.95,10/16/2022,17:20:23,0.271,3.415
